genus,genus_lower,observed_in_canada,ectomycorrhiza_lineage_template,ectomycorrhiza_exploration_type_template
Pulveroboletus,pulveroboletus,TRUE,/boletus,long-distance
Retiboletus,retiboletus,TRUE,/boletus,long-distance
Rheubarbariboletus,rheubarbariboletus,FALSE,/boletus,long-distance
Rhodactina,rhodactina,FALSE,/boletus,long-distance
Rossbeevera,rossbeevera,FALSE,/boletus,long-distance
Royoungia,royoungia,FALSE,/boletus,long-distance
Rubinoboletus,rubinoboletus,FALSE,/boletus,long-distance
Rubroboletus,rubroboletus,TRUE,/boletus,long-distance
Rugiboletus,rugiboletus,FALSE,/boletus,long-distance
Setogyroporus,setogyroporus,FALSE,/boletus,long-distance
Singerocomus,singerocomus,TRUE,/boletus,long-distance
Singeromyces,singeromyces,FALSE,/boletus,long-distance
Sinoboletus,sinoboletus,FALSE,/boletus,long-distance
Solioccasus,solioccasus,FALSE,/boletus,long-distance
Spongiforma,spongiforma,FALSE,/boletus,long-distance
Strobilomyces,strobilomyces,TRUE,/boletus,long-distance
Suillellus,suillellus,TRUE,/boletus,long-distance
Sutorius,sutorius,TRUE,/boletus,long-distance
Zangia,zangia,FALSE,/boletus,long-distance
Tengioboletus,tengioboletus,FALSE,/boletus,long-distance
Trappeindia,trappeindia,FALSE,/boletus,long-distance
Tubosaeta,tubosaeta,FALSE,/boletus,long-distance
Turmalinea,turmalinea,FALSE,/boletus,long-distance
Tylocinum,tylocinum,FALSE,/boletus,long-distance
Tylopilus,tylopilus,TRUE,/boletus,long-distance
Veloporphyrellus,veloporphyrellus,FALSE,/boletus,long-distance
Xanthoconium,xanthoconium,FALSE,/boletus,long-distance
Xerocomellus,xerocomellus,TRUE,/boletus,long-distance
Xerocomus,xerocomus,TRUE,/boletus,long-distance
Marthanella,marthanella,FALSE,uncertain,unknown
Calostoma,calostoma,FALSE,/pisolithus-scleroderma,long-distance
Astraeus,astraeus,TRUE,/pisolithus-scleroderma,long-distance
Diplocystis,diplocystis,FALSE,/pisolithus-scleroderma,long-distance
Endogonopsis,endogonopsis,FALSE,/pisolithus-scleroderma,long-distance
Tremellogaster,tremellogaster,FALSE,/pisolithus-scleroderma,long-distance
Brauniellula,brauniellula,FALSE,/suillus-rhizopogon,long-distance
